Unnamed: 0,agency,first_char,font_freq_0,font_freq_1,font_freq_2,font_name,font_size,font_size_0,font_size_1,font_size_2,font_size_3,font_size_4,font_size_5,font_size_6,font_size_7,font_size_8,font_size_9,includes_time,indent_bucket_0,indent_bucket_1,indent_bucket_2,indent_bucket_3,indent_bucket_4,indent_bucket_5,left_indent_0,left_indent_1,left_indent_10,left_indent_11,left_indent_12,left_indent_13,left_indent_14,left_indent_15,left_indent_16,left_indent_2,left_indent_3,left_indent_4,left_indent_5,left_indent_6,left_indent_7,left_indent_8,left_indent_9,left_inset,line_id,meeting_date,starts_with_enum_letter,starts_with_number,starts_with_roman_numeral,starts_with_subnumber,text,uppercase,line_class
0,cupertino_usd,C,0,0,0,IHMKKW+Arial-BoldMT,16.728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195.3,cupertino_usd_11-18-2014_0,11-18-2014,0,0,0,0,CUPERTINO UNION SCHOOL DISTRICT ,1,other_text
1,cupertino_usd, ,0,0,0,YBWPWA+ArialMT,15.972,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,308.31,cupertino_usd_11-18-2014_1,11-18-2014,0,0,0,0, ,0,other_text
2,cupertino_usd,B,0,0,0,IHMKKW+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243.755,cupertino_usd_11-18-2014_2,11-18-2014,0,0,0,0,Board of Education ,0,other_text
3,cupertino_usd,R,0,0,0,IHMKKW+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,253.855,cupertino_usd_11-18-2014_3,11-18-2014,0,0,0,0,Regular Meeting ,0,other_text
4,cupertino_usd,A,0,0,0,IHMKKW+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,277.969,cupertino_usd_11-18-2014_4,11-18-2014,0,0,0,0,AGENDA ,1,other_text
5,cupertino_usd, ,0,0,0,YBWPWA+ArialMT,15.972,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_11-18-2014_5,11-18-2014,0,0,0,0, ,0,other_text
6,cupertino_usd, ,0,0,0,YBWPWA+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_11-18-2014_6,11-18-2014,0,0,0,0,     ,0,other_text
7,cupertino_usd,C,0,0,0,YBWPWA+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_11-18-2014_7,11-18-2014,0,0,0,0,"Cupertino Union School District  Tuesday, November 18, 2014 ",0,other_text
8,cupertino_usd,1,0,0,0,YBWPWA+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_11-18-2014_8,11-18-2014,0,1,0,0,1309 S. Mary Avenue  6:00 p.m. ,0,other_text
9,cupertino_usd,S,0,0,0,YBWPWA+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_11-18-2014_9,11-18-2014,0,0,0,0,"Sunnyvale, CA 94087   ",0,other_text
10,cupertino_usd, ,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_11-18-2014_10,11-18-2014,0,0,0,0, ,0,other_text
11,cupertino_usd,W,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_11,11-18-2014,0,0,0,0,Welcome to the meeting of the Cupertino Union School District Board of Education.  If you would like to address the Board ,0,other_text
12,cupertino_usd,d,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_12,11-18-2014,0,0,0,0,"during Public Comments on any agenda item or any item not on the agenda, please fill out a comment card available in the ",0,other_text
13,cupertino_usd,h,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_13,11-18-2014,0,0,0,0,hallway and give it to the Administrative Assistant.  You will be called on to comment during this time and comments will be ,0,other_text
14,cupertino_usd,l,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_14,11-18-2014,0,0,0,0,limited to three (3) minutes.  To ensure that all speakers are provided an equal opportunity to address the Board during Public ,0,other_text
15,cupertino_usd,C,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_15,11-18-2014,0,0,0,0,"Comments, individual speakers may not “yield” their allotted time to address the Board to other speakers.  In addition, the Board ",0,other_text
16,cupertino_usd,m,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_16,11-18-2014,0,0,0,0,"may, in accordance with the Brown Act (section 54954.3[b] of the Government Code), limit the total amount of time allocated for ",0,other_text
17,cupertino_usd,c,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_17,11-18-2014,0,0,0,0,comment on a particular issue.  The Board may choose to respond to agenda item comments or reserve their responses for ,0,other_text
18,cupertino_usd,d,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_18,11-18-2014,0,0,0,0,discussion and action when the agenda item appears during the course of the meeting.  It should be noted that the Board ,0,other_text
19,cupertino_usd,d,0,0,0,YBWPWA+ArialMT,10.542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_19,11-18-2014,0,0,0,0,discourages complaints against individual officers or employees of the District during open session. ,0,other_text
20,cupertino_usd, ,0,0,0,YBWPWA+ArialMT,5.111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_20,11-18-2014,0,0,0,0, ,0,other_text
21,cupertino_usd,I,0,0,0,DDZANQ+Arial-ItalicMT,10.47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104.649,cupertino_usd_11-18-2014_21,11-18-2014,0,0,0,0,"Individuals who require special accommodation should contact the Superintendent’s Office at (408) 252-3000, ext. 200 ",0,other_text
22,cupertino_usd,a,0,0,0,DDZANQ+Arial-ItalicMT,10.47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,222.946,cupertino_usd_11-18-2014_22,11-18-2014,0,0,0,0,at least two business days before the meeting date. ,0,other_text
23,cupertino_usd, ,0,0,0,YBWPWA+ArialMT,5.111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.92,cupertino_usd_11-18-2014_23,11-18-2014,0,0,0,0, ,0,other_text
24,cupertino_usd,A,0,0,0,IHMKKW+Arial-BoldMT,11.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.759,cupertino_usd_11-18-2014_24,11-18-2014,0,0,0,0,"As a courtesy to others, please turn off your cell phone upon entering the meeting. ",0,other_text
25,cupertino_usd,1,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_11-18-2014_25,11-18-2014,0,1,0,0,1.     CALL TO ORDER/FLAG SALUTE ,1,section_heading
26,cupertino_usd, ,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94.56,cupertino_usd_11-18-2014_26,11-18-2014,0,0,0,0,  ,0,other_text
27,cupertino_usd,2,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_11-18-2014_27,11-18-2014,0,1,0,0,2.     RECOGNITION – RETIRING BOARD MEMBERS ,1,section_heading
28,cupertino_usd, ,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94.56,cupertino_usd_11-18-2014_28,11-18-2014,0,0,0,0,        ,0,other_text
29,cupertino_usd, ,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94.56,cupertino_usd_11-18-2014_29,11-18-2014,0,0,0,0,   RECESS – Reception in Honor of Retiring Board Members Ben Liao and Gary McCue ,0,other_text
30,cupertino_usd, ,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_11-18-2014_30,11-18-2014,0,0,0,0, ,0,other_text
31,cupertino_usd,3,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_11-18-2014_31,11-18-2014,0,1,0,0,3.     RECOGNITION - CLASSIFIED EMPLOYEE OF THE MONTH ,1,section_heading
32,cupertino_usd, ,0,0,0,IHMKKW+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_11-18-2014_32,11-18-2014,0,0,0,0,"         Martina Zavala, Custodian ",0,other_text
33,cupertino_usd, ,0,0,0,YBWPWA+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_11-18-2014_33,11-18-2014,0,0,0,0,         DeVargas Elementary School         ,0,item_text
