Unnamed: 0,agency,first_char,font_freq_0,font_freq_1,font_freq_2,font_name,font_size,font_size_0,font_size_1,font_size_2,font_size_3,font_size_4,font_size_5,font_size_6,font_size_7,font_size_8,font_size_9,includes_time,indent_bucket_0,indent_bucket_1,indent_bucket_2,indent_bucket_3,indent_bucket_4,indent_bucket_5,left_indent_0,left_indent_1,left_indent_10,left_indent_11,left_indent_12,left_indent_13,left_indent_14,left_indent_15,left_indent_16,left_indent_2,left_indent_3,left_indent_4,left_indent_5,left_indent_6,left_indent_7,left_indent_8,left_indent_9,left_inset,line_id,meeting_date,starts_with_enum_letter,starts_with_number,starts_with_roman_numeral,starts_with_subnumber,text,uppercase,line_class
0,cupertino_usd,C,0,0,0,IGRBOP+Arial-BoldMT,16.728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195.3,cupertino_usd_09-23-2014_0,09-23-2014,0,0,0,0,CUPERTINO UNION SCHOOL DISTRICT ,1,other_text
1,cupertino_usd, ,0,0,0,CRQPBD+ArialMT,15.972,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,308.31,cupertino_usd_09-23-2014_1,09-23-2014,0,0,0,0, ,0,other_text
2,cupertino_usd,B,0,0,0,IGRBOP+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243.755,cupertino_usd_09-23-2014_2,09-23-2014,0,0,0,0,Board of Education ,0,other_text
3,cupertino_usd,R,0,0,0,IGRBOP+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,253.855,cupertino_usd_09-23-2014_3,09-23-2014,0,0,0,0,Regular Meeting ,0,other_text
4,cupertino_usd, ,0,0,0,CRQPBD+ArialMT,15.972,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_09-23-2014_4,09-23-2014,0,0,0,0, ,0,other_text
5,cupertino_usd,A,0,0,0,IGRBOP+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,277.969,cupertino_usd_09-23-2014_5,09-23-2014,0,0,0,0,AGENDA ,1,other_text
6,cupertino_usd, ,0,0,0,CRQPBD+ArialMT,15.972,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_09-23-2014_6,09-23-2014,0,0,0,0, ,0,other_text
7,cupertino_usd, ,0,0,0,CRQPBD+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_09-23-2014_7,09-23-2014,0,0,0,0,     ,0,other_text
8,cupertino_usd,C,0,0,0,CRQPBD+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_09-23-2014_8,09-23-2014,0,0,0,0,"Cupertino Union School District  Tuesday, September 23, 2014 ",0,other_text
9,cupertino_usd,1,0,0,0,CRQPBD+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_09-23-2014_9,09-23-2014,0,1,0,0,1309 S. Mary Avenue  6:30 p.m. ,0,other_text
