Unnamed: 0,agency,first_char,font_bold,font_italic,font_name,font_size,includes_time,indent_bucket_0,indent_bucket_1,indent_bucket_2,indent_bucket_3,indent_bucket_4,indent_bucket_5,left_inset,line_id,meeting_date,starts_with_enum_letter,starts_with_number,starts_with_roman_numeral,starts_with_subnumber,text,uppercase,line_class
0,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,1,0,0,0,95.0,cupertino_usd_04-21-2015_0,04-21-2015,0,0,0,0,,0,other_text
1,cupertino_usd,1,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_1,04-21-2015,0,1,0,0,1. CALL TO ORDER/FLAG SALUTE/REGNART ELEMENTARY SCHOOL,1,section_heading
2,cupertino_usd,P,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_2,04-21-2015,0,0,0,0,PRESENTATION,1,section_heading
3,cupertino_usd, ,0,0,Arial,14.375,0,0,0,1,0,0,0,95.0,cupertino_usd_04-21-2015_3,04-21-2015,0,0,0,0,,0,other_text
4,cupertino_usd,2,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_4,04-21-2015,0,1,0,0,2.    SUPERINTENDENT’S REPORT,1,section_heading
5,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_5,04-21-2015,0,0,0,0,,0,other_text
6,cupertino_usd,3,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_6,04-21-2015,0,1,0,0,3.    RECOGNITION,1,section_heading
7,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_7,04-21-2015,0,0,0,0,Classified Employee of the Month – April 2015,0,other_text
8,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_8,04-21-2015,0,0,0,0,"Valerie Hayes, Attendance/Substitute Analyst",0,other_text
9,cupertino_usd, ,0,0,Arial,14.375,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_9,04-21-2015,0,0,0,0,Human Resources Department,0,item_text
10,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_10,04-21-2015,0,0,0,0,,0,other_text
11,cupertino_usd,4,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_11,04-21-2015,0,1,0,0,4.    APPROVAL OF MINUTES,1,section_heading
12,cupertino_usd, ,0,0,Arial,14.375,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_12,04-21-2015,0,0,0,0,"Approval of Minutes of the Regular Meetings on March 10, 2015 and March 24, 2015",0,item_heading
13,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,1,0,0,0,95.0,cupertino_usd_04-21-2015_13,04-21-2015,0,0,0,0,,0,other_text
14,cupertino_usd,5,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_14,04-21-2015,0,1,0,0,5.    COMMUNICATION – EMPLOYEE ORGANIZATIONS,1,section_heading
15,cupertino_usd, ,0,0,Arial,14.375,0,0,0,1,0,0,0,95.0,cupertino_usd_04-21-2015_15,04-21-2015,0,0,0,0,,0,other_text
16,cupertino_usd,6,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_16,04-21-2015,0,1,0,0,6.    PUBLIC COMMENTS,1,section_heading
17,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_17,04-21-2015,0,0,0,0,The public may address the Board on any agenda item and any item not on the agenda.  The,0,item_heading
18,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_18,04-21-2015,0,0,0,0,"Board president will only call on those who have filled out comment cards before the meeting, and",0,item_text
19,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_19,04-21-2015,0,0,0,0,each speaker will be allotted three (3) minutes.  The Board will not respond or take action on any,0,item_text
20,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_20,04-21-2015,0,0,0,0,"non-agenda item comments at this time, although the item may be agendized at a later date (Ed.",0,item_text
21,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_21,04-21-2015,0,0,0,0,Code 35145.5).  The comments shall be made from the podium.  In accordance with Government,0,item_text
22,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_22,04-21-2015,0,0,0,0,Code 54954.2 – No action or discussion shall be undertaken on any item not appearing on the,0,item_text
23,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_23,04-21-2015,0,0,0,0,posted agenda.  The Board shall limit the total time to 30 minutes.  Please refrain from any,0,item_text
24,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_24,04-21-2015,0,0,0,0,response to the speaker including negative and positive reactions (booing and clapping).  This will,0,item_text
25,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_25,04-21-2015,0,0,0,0,ensure that all members of the public feel free to voice their opinions and concerns.,0,item_text
26,cupertino_usd, ,0,0,Arial,14.375,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_26,04-21-2015,0,0,0,0,,0,other_text
27,cupertino_usd,7,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_27,04-21-2015,0,1,0,0,7.      PRESENTATION,1,section_heading
28,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_04-21-2015_28,04-21-2015,0,0,0,0,Recognition of Parent Volunteers,0,other_text
29,cupertino_usd, ,0,0,Arial,14.375,0,0,1,0,0,0,0,77.0,cupertino_usd_04-21-2015_29,04-21-2015,0,0,0,0,,0,other_text
